checkpoint,psnr,moving_0.5
1,17.384856071472168,17.384855
5,19.11426502227783,18.249561
10,20.339868717193603,19.294716
15,20.582966566085815,19.93884
20,20.196720542907716,20.06778
25,21.02323073387146,20.545506
30,20.924653205871582,20.73508
35,21.509703817367555,21.122393
40,21.724451475143432,21.423422
45,22.015192966461182,21.719307
50,22.1532608795166,21.936283
60,22.505437021255492,22.22086
65,22.436156930923463,22.328508
70,22.045746459960938,22.187126
75,22.388468828201294,22.287798
80,22.076109313964842,22.181953
85,22.742489957809447,22.462223
90,23.08388482093811,22.773054
91,23.02133274078369,22.897194
92,22.856402435302734,22.876799
93,22.873965854644776,22.875381
94,22.6780832862854,22.776733
95,22.963754730224608,22.870243
96,23.475444974899293,23.172844
97,22.47312584877014,22.822985
98,23.06939486503601,22.94619
99,23.168199920654295,23.057194
100,22.533083772659303,22.79514
101,23.763902769088745,23.279522
102,22.790150814056396,23.034836
103,22.76447910308838,22.899658
104,22.9411070728302,22.920383
105,22.728640356063842,22.824512
106,23.38794943809509,23.106232
107,23.01918454170227,23.062708
108,23.1422518157959,23.10248
109,23.283278827667235,23.192879
110,23.133526487350466,23.163202
111,23.04457335472107,23.103888
112,23.07566174507141,23.089775
113,22.519222059249877,22.804499
114,22.91326455116272,22.858883
115,22.80531509399414,22.8321
116,23.228495655059813,23.030298
117,23.166103439331053,23.098202
118,23.69070878982544,23.394455
119,23.078016662597655,23.236237
120,22.883927564620972,23.060081
121,23.13375538825989,23.096918
122,22.796913175582887,22.946915
123,23.356063032150267,23.15149
124,23.397450609207155,23.274471
125,23.687128562927246,23.4808
126,22.701001739501955,23.0909
127,23.219738092422485,23.15532
128,23.19910388946533,23.177212
129,22.597430210113526,22.887321
130,22.900943536758422,22.894133
131,22.871066598892213,22.882599
132,23.212252531051636,23.047424
133,23.335792751312255,23.191608
134,23.782860155105592,23.487234
135,23.616994943618774,23.552114
136,23.54534482002258,23.548729
137,23.366796989440918,23.457764
138,23.497764530181886,23.477764
139,23.666215047836303,23.571991
140,23.497413129806517,23.534702
141,23.374742040634157,23.454723
142,23.65613384246826,23.555428
143,23.712302408218385,23.633865
144,23.691692266464234,23.662779
145,23.630131349563598,23.646454
146,23.653643045425415,23.650047
147,23.567126836776733,23.608587
148,23.089349937438964,23.348969
149,23.503878660202027,23.426424
150,23.191889352798462,23.309156
151,23.613905096054076,23.46153
152,23.63554522514343,23.548538
153,23.53682724952698,23.542683
154,23.605294036865235,23.573988
155,23.540942993164062,23.557465
156,23.543925857543947,23.550695
157,23.58157048225403,23.566132
158,23.126201848983765,23.346167
159,23.11062686920166,23.228397
160,23.790272417068483,23.509335
161,23.995029611587526,23.752182
162,23.372615785598754,23.562399
163,23.52179899215698,23.542099
164,23.02595531463623,23.284027
165,23.101823148727416,23.192924
166,23.278706197738646,23.235815
167,23.213596096038817,23.224705
168,22.999986486434935,23.112347
169,23.831351404190062,23.47185
170,23.718406238555907,23.595127
171,24.040894079208375,23.81801
172,23.815949306488037,23.816978
173,23.535986604690553,23.676483
174,22.869409914016725,23.272945
175,23.88633276939392,23.57964
176,23.88629553794861,23.732967
177,23.575681838989258,23.654324
178,24.126865177154542,23.890594
179,23.45677819252014,23.673687
180,23.648925848007202,23.661306
181,23.640100784301758,23.650703
182,24.13405385017395,23.89238
183,23.285934371948244,23.589157
184,24.384485177993774,23.98682
185,23.686076402664185,23.836449
186,23.893907489776613,23.865177
187,23.779699125289916,23.822437
188,23.90978883743286,23.866112
189,23.236219854354857,23.551167
190,23.684261445999145,23.617714
191,23.726298332214355,23.672007
192,23.54220251083374,23.607105
193,23.69125142097473,23.649178
194,23.703165693283083,23.67617
195,24.006776456832885,23.841473
196,23.597674207687376,23.719574
197,23.961823263168334,23.840698
198,23.615617942810058,23.728157
199,23.834148178100588,23.781153
200,24.21043848991394,23.995796
201,23.73516266822815,23.865479
202,23.840884561538697,23.853182
203,23.79772274017334,23.82545
204,23.86987907409668,23.847664
205,24.379319763183595,24.113491
206,24.109171552658083,24.111332
207,24.506682739257812,24.309008
208,24.204439764022826,24.256723
209,23.99735849380493,24.12704
210,24.061729412078858,24.094385
211,24.092449598312378,24.093418
212,23.606797609329224,23.85011
213,23.504395647048952,23.677254
214,23.349334268569947,23.513294
215,23.74891049385071,23.631104
216,24.027080144882202,23.829092
217,24.489332208633424,24.159212
218,24.340926780700684,24.250069
219,24.04220739364624,24.146137
220,24.237435245513915,24.191786
221,24.57333044052124,24.382557
222,23.68654697418213,24.034552
223,23.952613716125487,23.993584
224,25.14960174560547,24.571592
225,24.05064642906189,24.31112
226,24.243142747879027,24.27713
227,24.123761434555053,24.200447
228,24.077053785324097,24.13875
229,23.79362956047058,23.96619
230,23.717842483520506,23.842016
231,23.890003623962404,23.866009
232,24.346741132736206,24.106375
233,24.807050647735597,24.456713
234,24.340616359710694,24.398664
235,24.606509065628053,24.502586
236,24.081222972869874,24.291904
237,24.48657085418701,24.389236
238,23.62742230415344,24.00833
239,24.088223972320556,24.048277
240,23.866320505142212,23.957298
241,23.635065870285032,23.79618
242,24.58744831085205,24.191814
243,24.1135515499115,24.152683
244,24.601184177398682,24.376934
245,24.313096389770507,24.345016
246,25.040055503845213,24.692535
247,24.77068739891052,24.731611
248,24.67954517364502,24.705578
249,24.348395462036134,24.526987
250,24.432662982940673,24.479824
251,24.18360828399658,24.331717
252,24.47557915687561,24.403648
253,24.44010940551758,24.421879
254,24.502434911727907,24.462158
255,24.39216818809509,24.427162
256,24.866161251068114,24.646662
257,23.821469507217408,24.234066
258,24.68031662940979,24.457191
259,24.082782602310182,24.269987
260,24.49707974433899,24.383533
261,24.20005407333374,24.291794
262,24.1550559425354,24.223425
263,24.098247156143188,24.160835
264,24.077660617828368,24.119247
265,24.455009126663207,24.287128
266,24.29222170829773,24.289675
267,23.613996896743775,23.951836
268,24.60920638348683,24.280521
269,25.96102305381529,25.120773
270,24.60059023857117,24.860682
271,29.143818140029907,27.00225
274,24.066279182434084,25.534264
